# Archivo de traducciones - Portugues (PT)
# Formato: CLAVE;Texto (una por linea, UTF-8). Las lineas con # se ignoran.
# Usar desde: Admin > Idiomas > Nuevo Idioma > Examinar...

COMUN_ATENCION;Atenção
CLAVE_ERR_NO_FORMATO;A senha não atende ao formato exigido
PERF_TITULO;Gestão de Perfis
PERF_LBL_TITULO;GESTÃO DE PERFIS
PERF_GB_DATOS;Dados do Perfil
PERF_GB_PERMISOS;Permissões e Famílias Disponíveis
PERF_GB_ARBOL;Árvore de Hierarquia de Permissões
PERF_LBL_NOMBRE;Nome:
PERF_LBL_ROL_FAMILIA;Função / Família:
PERF_RB_ROL;Função
PERF_RB_FAMILIA;Família
PERF_BTN_CREAR;Criar
PERF_BTN_ELIMINAR;Excluir
PERF_MSG_SELECCION;Você deve selecionar permissões ou famílias
IDI_TITULO;Gestão de Idiomas
IDI_GB_NUEVO;Novo Idioma
IDI_LBL_CODIGO;Código
IDI_LBL_BASE;Ao criar um idioma, as traduções do idioma base (Espanhol) são copiadas como ponto de partida.
IDI_BTN_CREAR;Criar Idioma
IDI_GB_TRADUCCIONES;Traduções
IDI_LBL_IDIOMA;Idioma:
IDI_COL_CLAVE;Chave
IDI_COL_TEXTO;Texto
IDI_MSG_CREADO;O idioma -- {0} -- foi criado com sucesso
IDI_MSG_GUARDADO;Traduções salvas com sucesso
IDI_ERR_DATOS;Você deve informar o código e o nome do idioma
IDI_ERR_LONGITUD;O código permite até 5 caracteres e o nome até 50
IDI_ERR_CODIGO_EXISTE;Já existe um idioma com esse código
IDI_LBL_ARCHIVO;Arquivo de traduções (opcional)
IDI_BTN_EXAMINAR;Procurar...
IDI_MSG_IMPORTADAS;O idioma -- {0} -- foi criado com {1} traduções importadas
IDI_ERR_ARCHIVO;Não foi possível ler o arquivo de traduções: 
